CityFacilityID(FK),WorkerID(FK),total,Jumlah Penduduk,Rasio,status,color
90,4,0,1650256,0.0000000000,Rendah,#FFCCE6
91,4,5,2321549,0.0000021537,Rendah,#FFCCE6
92,4,0,1136879,0.0000000000,Rendah,#FFCCE6
93,4,0,1274197,0.0000000000,Rendah,#FFCCE6
94,4,1,1060086,0.0000009433,Rendah,#FFCCE6
95,4,0,685490,0.0000000000,Rendah,#FFCCE6
96,4,0,636148,0.0000000000,Rendah,#FFCCE6
97,4,0,840327,0.0000000000,Rendah,#FFCCE6
98,4,1,1255119,0.0000007967,Rendah,#FFCCE6
99,4,2,1182070,0.0000016919,Rendah,#FFCCE6
100,4,0,1204437,0.0000000000,Rendah,#FFCCE6
101,4,1,1342628,0.0000007448,Rendah,#FFCCE6
102,4,0,1003188,0.0000000000,Rendah,#FFCCE6
103,4,0,1001140,0.0000000000,Rendah,#FFCCE6
104,4,1,898130,0.0000011134,Rendah,#FFCCE6
105,4,0,1096701,0.0000000000,Rendah,#FFCCE6
106,4,1,291256,0.0000034334,Rendah,#FFCCE6
107,4,3,143840,0.0000208565,Tinggi,#660033
108,4,17,880169,0.0000193145,Tinggi,#660033
109,4,1,241423,0.0000041421,Rendah,#FFCCE6
110,4,2,203244,0.0000098404,Sedang,#FF0080
111,4,0,131216,0.0000000000,Rendah,#FFCCE6
112,4,1,177972,0.0000056189,Rendah,#FFCCE6
113,4,37,2918543,0.0000126776,Sedang,#FF0080
114,4,0,211225,0.0000000000,Rendah,#FFCCE6
1,5,292,557164,0.0005240827,Sedang,#99FF33
2,5,424,877121,0.0004833997,Sedang,#99FF33
3,5,329,699526,0.0004703185,Sedang,#99FF33
4,5,422,1047645,0.0004028082,Rendah,#E6FFCC
5,5,377,1167796,0.0003228304,Rendah,#E6FFCC
6,5,518,1587132,0.0003263749,Rendah,#E6FFCC
7,5,709,2637160,0.0002688498,Rendah,#E6FFCC
8,5,381,1047482,0.0003637294,Rendah,#E6FFCC
9,5,937,2471542,0.0003791155,Rendah,#E6FFCC
10,5,790,1622536,0.0004868921,Sedang,#99FF33
11,5,535,782676,0.0006835523,Sedang,#99FF33
12,5,500,689361,0.0007253094,Tinggi,#408000
13,5,624,1182298,0.0005277857,Sedang,#99FF33
14,5,588,1650256,0.0003563084,Rendah,#E6FFCC
15,5,495,2321549,0.0002132197,Rendah,#E6FFCC
16,5,423,1136879,0.0003720713,Rendah,#E6FFCC
17,5,740,1274197,0.0005807579,Sedang,#99FF33
18,5,547,1060086,0.0005159959,Sedang,#99FF33
19,5,339,685490,0.0004945368,Sedang,#99FF33
20,5,420,636148,0.0006602237,Sedang,#99FF33
21,5,541,840327,0.0006437970,Sedang,#99FF33
22,5,725,1255119,0.0005776345,Sedang,#99FF33
23,5,616,1182070,0.0005211197,Sedang,#99FF33
24,5,763,1204437,0.0006334910,Sedang,#99FF33
25,5,612,1342628,0.0004558225,Sedang,#99FF33
26,5,923,1003188,0.0009200668,Tinggi,#408000
27,5,749,1001140,0.0007481471,Tinggi,#408000
28,5,568,898130,0.0006324252,Sedang,#99FF33
29,5,1060,1096701,0.0009665351,Tinggi,#408000
30,5,124,291256,0.0004257423,Rendah,#E6FFCC
31,5,50,143840,0.0003476085,Rendah,#E6FFCC
32,5,159,880169,0.0001806471,Rendah,#E6FFCC
